model,transmission,body_type,drive_type,color,production_year,auto_key,engine_capacity,horsepower,engine_type,price,milage
Honda HR-V I,вариатор,внедорожник 3 дв.,полный,синий,1998,1099893014,1.8,124,Бензин,170000,407000
Honda Accord VII,автомат,седан,передний,чёрный,2004,1096691822,2.4,190,Бензин,430000,250000
Honda Accord Type-S VII Рестайлинг Type S,автомат,седан,передний,чёрный,2007,1094710746,2.4,190,Бензин,565000,250000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,чёрный,2007,1097908488,1.8,140,Бензин,450000,180000
Honda Mobilio I Рестайлинг,вариатор,компактвэн,передний,голубой,2006,1089253558,1.5,110,Бензин,320000,200000
Honda CR-V I,механика,внедорожник 5 дв.,полный,серебристый,1998,1097105942,2.0,145,Бензин,285000,162911
Honda Orthia I,автомат,универсал 5 дв.,полный,синий,1996,1095330264,2.0,145,Бензин,220000,100000
Honda Civic IX,вариатор,седан,передний,серый,2011,1098656698,1.5,90,Гибрид,780000,130000
Honda CR-V II,автомат,внедорожник 5 дв.,полный,зелёный,2002,1094878598,2.4,162,Бензин,435000,200000
Honda Accord IV,автомат,седан,передний,серебристый,1995,1097907998,2.0,133,Бензин,90000,300000
